moment	social
My boss left work early, so I left early, too.	yes
I found out that I will be going to Sicily in order to work remotely from there for 6 months later on this year.	no
It was my mother's birthday and she thanked me for the present she received	yes
Keeping physically fit by running and lifting weights keeps me very happy and active.	no
YESTERDAY WE WENT RESTAURANT WITH ALL MY FAMILY MEMBERS WITHOUT MISSING OUT ANYONE.IT WAS A UNFORGETTABLE MOMENT.SUCH A GREAT TIME THAT I SPEND ANYMORE.	yes
My wife added a couple of snails to her fish tank and I really like one because it's huge I call it Snailzilla.	yes
My husband made dinner and cleaned it up, always a happy event!	yes
I heard one of my favorite songs from the 80's on the radio.	no
I won $20 on a scratch ticket last month.	no
I WENT TO SHOPPING	no
My husband made me a nice meal of a favorite dish.	yes
I WENT TO TEMPLE	no
One thing that has made me happy in the last 24 hours was finding out that my father is recovering well from his stint surgery.	yes
I saw my 24 week old fetus on ultrasound with my husband and my parents.	yes
In the last 3 weeks months, my family and I adopted a baby pug which made me and my family extremely happy!	yes
I had the day off from work.	no
I was happy when I received the results of my A1c test a month ago; it was the lowest A1c I had every had.	no
Playing with my pets for a big part of the day cheered my day right up	no
I felt very happy on Thursday last week when I shared time with my girlfriend in a cinema hall and enjoyed the moments with her	yes
I video chatted with my parents whom I haven't seen for several weeks now as they are overseas.	yes
I found out I was accepted into nursing school and can now start to go down the path to my dream job.	yes
I went to see the parade for the local high school basketball team champions in our town.	yes
I won five dollars on a $1 lottery ticket that my friend gave me.	yes
I ate a plate of homemade nachos.	no
I bought beer.	no
I watched the Guardians of the Galaxy 2 in theaters.	yes
My girlfriend told me she is really happy with me and that she was happy she met me.	yes
I had a very pleasant and personal conversation with a friend of mine.	yes
When my daughter wanted to run in the rain this morning before I took her to preschool	yes
I ate good pizza.	no
I was able to get a bunch of surveys done yesterday that I don't normally apply for, so I made some good extra money.	no
When rain came in summer.	no
I started going to the gym and gained 4 pounds after the first week.	no
I was extremely happy to see how many people paid tribute yesterday to my late boyfriend on the one year anniversary of his death.	yes
I passed my recertification exam for work today I got a perfect score	no
My students gave me a card	yes
My husband got a gift for me and that was a happy moment for me	yes
I had a dinner party at my house last evening with friends and family.	yes
I was able to do some work.	no
I helped a patient at work with a difficult situation and she hugged me on the way out and told me what a good nurse I am.	yes
ate a great steak	no
I went for a walk with my wife.	yes
I got praised by my boss for doing a good job this morning.	yes
I got a new tv.	no
When I completed a 5k race last month, I was really happy because I had work so hard to complete this personal  accomplishment.	no
I always come across these twin cats, and yesterday they both were around  circle around  me until I left.	no
A former colleague took me out to dinner	yes
I chatted with one of my best friends for an hour which doesn't happen often.	yes
My niece graduated college.	yes
This morning my daughter built her first Duplo(Lego) tower that was more than a single pillar.	yes
I went for a long walk with my dogs.	yes
I got to go to my cousin's wedding.	yes
U was informed by a family member that she'd gotten engaged to be married.	yes
The cafeteria had fried chicken today and it was fantastic and it made me happy for probably an hour afterwards.	no
I saved up enough money for a game I really wanted	no
Received my package from amazon, intact and fast.	no
I found cheap flights for our summer vacation, for under $1000 for all five of us!	no
I got to have time alone with  my husband without the kids around.	yes
I got drunk with my husband, and watched John Wick while we cuddled and pet our cats.	yes
Hanging out with my son eating chicken soup.	yes
Today made me happy, close a deal, with my work associate who had a lot of time waiting.	yes
I watched one of my favorite TV shows last night, it was the season finale and I thoroughly enjoyed it.	no
I completed a mission in the video game Titanfall 2 that took many tries to beat.	no
I was praised at work for completing a task quicker than expected.	yes
I was able to enjoy the sunshine for about an hour.	no
We buyed one small puppy it's white color and very cute one	yes
I got a great workout in at the gym after work.	no
I broke $500 in one day on Mechanical Turk yesterday - not a milestone for me, as my record was higher than that, but it was a very, very good day.	no
I MARRIED 3 MONTH BEFORE SO I AM VERY HAPPY THAT MOMENT	yes
I played video games today and accomplished multiple goals in them.	no
I meet my son girlfriend	yes
I went to the store and bought a new planter for the deck.	no
I went to my daughter's friends birthday party and we celebrated in their home.	yes
my happiest moment everyday my mom say bye to me when i get ready to go somewhere.	yes
I drove 3 hours to another major city with some friends to check out our favorite baseball team playing a game there.	yes
I made reservations for an upcoming vacation.	no
Another event that made me happy was being able to watch a movie with my wife last night before bed.	yes
I was able to sustain from drinking.	no
ate a great steak	no
I WENT TO SHOPPING	no
I bought a new bike then i ride it faster	no
I got to talk with my grandma on the phone while I went for a walk.	yes
I found a really good parking spot when I went to the mall.	no
My husband bought a new car first time after our marriage	yes
I brushed my dog who has long hair.	no
I just got a paychek from work and that made me really happy.	no
My 15 year anniversary is coming up, and I'm planning a trip.	no
I won a rare weapon in a mobile game that I was playing.	no
I went out to dinner, and I saw a server who remembered my favorite meal.	yes
I played a new video game this evening that I had been waiting to play but could not make time for.	no
A few weeks ago, I went to the flee market and found the exact items I was looking in a very short amount of time and at an affordable cost.	no
I got recognized at work.	yes
My son won his school wide basketball game which made me very happy.	yes
Was able to get a table at The Chop House Restaurant.	no
i gave a presentation at a meeting for a project that i'm the lead on and got kudos after the meeting.	yes
My son called me on the phone.	yes
We celebrate our parent's wedding anniversary last week.	yes
I partied at the strip club in Florida.	no
My son slept past 6am for the first time in months.	yes
Yesterday after work my boyfriend and I went on a 3 mile hike in the woods and I really enjoyed being out in nature.	yes
My boyfriend and I played video games all this weekend together.	yes
My daughter brought home a straight A progress report.	yes
My girlfriend and I got to relax once my stepson was asleep, was great to see her finally get to unwind with Greys Anatomy.	yes
My husband bought the family a large swimming pool.	yes
I got to see my friend's new puppy.	yes
I just got my contract for next year with a decent raise.	no
I ate really good sushi.	no
I scheduled a Father's Day trip to see the Chicago cubs play in Pittsburgh for Father's Day.	no
Another event that made me happy was when I met my girlfriend a month ago.	yes
Culver's has shrimp specials and it was delicious and cooked the way I like it.	no
WE HAVE TO TRAVELLING  THE UNITED STATES  AND  IT SAW MANY ATTRACTIVE PLACE IT WAS HAPPINESS  IN MY LIFE	no
My wife made me a great breakfast that included bacon and eggs.	yes
I WENT TO TEMPLE	no
I booked a vacation and submitted for time off from work.	no
My partner bought me a cute t shirt.	yes
I got to see my girlfriend after a long day at work.	yes
I bought tires and was given an unexpected credit due to previous tires not meeting their mileage warranty.	no
I laid out in the sun after a long stretch of rain.	no
My morning coffee was extra good.	no
I got some new clothing I've been wanting for a long while.	no
I finished a good book	no
I love watch movies with my wife and sons in my house	yes
I took a work from home	no
"At a leadership training event the facilitator told a very funny joke about ""basic moms of suburbia."""	yes
I GOT MY NEW BIKE THAT MADE ME VERY HAPPY.	no
I was happy to see my mturk earnings for the past few days.	no
I meet my son girlfriend	yes
I was complimented by my boss on how well I do my job.	yes
Today, I went out for lunch with my wife and I am happy.	yes
My son made a good decisions today at school and didn't join his friends in misbehaving.	yes
My work colleague gave me the news that I was promoted to a higher rank.	yes
I WENT TO TEMPLE	no
My son got admission into his desired stream in Grade 11, that's a big load off my chest and a really happy news!	yes
2 WEEKS BEFORE I BOUGHT APPLE I PHONE...	no
The birth of my baby was the best thing that happened to me this month.	yes
My wife bought me a new shirt.	yes
MY FAMILY MEMBERS WENT TO A PICNIC.	yes
I won the first prize in a badminton tournament.	no
I successfully cooked a really good pasta meal.	no
Taking a long drive on a calm road with my family members who love me always.	yes
I got a huge bonus from work, $1500, a couple of weeks ago, which was more than I'd been expecting.	no
My daughter called me	yes
LAST MONTH I WENT TO MET MY MOTHER SHE HAD PREPARED MY FAVOURITE DISHES AND I ATE LUNCH AND I WAS VERY HAPPY BECAUSE MY CHILDHOOD MEMORIES CAME BACK TO ME.	yes
People liked my photo.	yes
I heard a friend's dog is doing better, she had a slipped disc in her neck and is happy again after her recovery.	yes
The baby slept for three hours straight!	yes
Throwing an end of the year party today for my students made me happy.	yes
I finally received my first, though long overdue, annual review from my employer and the results of the review were better than I had anticipated.	yes
Getting a maine lobster roll from a food truck that was at the soccer game, it was really good!	yes
Talked to my friend.	yes
The price of gas in my particular gasoline station fell 10 cents a gallon.	no
seeing my brother whom I have not seen for over a yer	yes
I was able to complete a three year project at work after multiple delays.	no
Watching my son play baseball.	yes
I achieved my income goal for the day.	no
I saw my best friend from college.	yes
I received some money from mechanical turk.	no
I was happy that we finally had a nice warm day.	no
I booked my flight ticket to go back to college.	no
I finally got the last achievement on a horrible game that I played for the sole purpose of achievement farming.	no
My friend Edna called from Switzerland to tell me that she is expecting a boy and would like me to be the godmother when he is born.	yes
My grandmother in law passed away on Tuesday, and last night while dining with my in-laws we were talking about her and sharing some funny stories when I noticed briefly that everyone was laughing and smiling about a particularly funny story and I was so happy to share that moment in the midst of such sadness.	yes
Morning coffee that something really tasted good today .	no
Trying some new food was wonderful and quite exquisite.	no
I went outside today and took a walk with my kids and then we coloured out on the porch and drew a picture for daddy.	yes
I bought a new smartphone	no
I left home	no
I bought a new laptop.	no
I won a 50 minute League of Legends game (which twice the average time) and it made me really happy.	no
having a great workout	no
Going to church with family and friends.	yes
I finished the writing assignment I had been working on.	no
My nieces are at a silly age and made me laugh on Easter.	yes
MY 4TH MONTH ANNIVERSARY IN MAY 24	no
My uncle bought tickets for me, him, and my two cousins to go see a Yankees game in July.	yes
I got a long awaited promotion in the last month from Assistant Manager to Manager.	no
Waking up to the smell of recently made french toast, my favorite breakfast.	no
My cat food, rolling pin, and bottle of perfume arrived in the mail.	no
I got a much needed job after being out of work for 7 months.	no
I woke up and was excited to get to work.	no
When I tried cooking something new for dinner yesterday and my family enjoyed it.	yes
I was happy when my husband texted me randomly at work to tell me that he loves me.	yes
I WENT TO SHOPPING	no
it was my marriage party.i invited all of my friends and gave me a party to them	yes
Winning our intramural soccer game	yes
My cat was planning on ambushing me from behind my computer tower and instead of grabbing me he managed to spill a bowl of food on himself.	yes
Roaming with my friends to some Amusment park and had a dinner with them.	yes
I tried a watermelon milkshake for the first time and enjoyed it very much.	no
My mother really loved the gift I got her for Mother's Day.	yes
My happiest moment when everyday my mom kiss me on my head.	yes
My friends and I finally beat a level on a video game  that we have been stuck on for a while.	yes
My son got 1st rank in his class.	yes
i installed a new operating system on one of my laptops and its working reall well.	no
I went to see the Fifth  Element 20th anniversary replay in the theater last night.	no
This morning, my best friend told me that her husband and her brother already found a job in their new country of residence.	yes
When I ate my favorite dessert	no
I WENT TO SHOPPING	no
My son told me a few jokes today.	yes
I went car shopping to look at newer cars and am very excited to buy a newer car debt free!	no
One month ago I was able to finished the novel, Halo: Silentium.	no
My wife passed the government exam held yesterday and qualified for a job.	yes
I had a really nice hour long phone conversation with my mom this evening.	yes
My friends had acquired a new dog, and it was gorgeous.	yes
I bought a new laptop.	no
I went to Dick's Sporting Goods and got a bike.	no
Took my daughters to the circus	yes
I talked with a friend through chat.	yes
I got a promotion at work.	yes
I passed my final exam for a subject I wasn't confident about	no
I played an app design game and received a perfect score from the players (voters).	yes
A hot chat with my dating partner makes me feel more sexy	yes
I went to shopping, and went to restaurant with my parents for dinner, it was quite pleasant evening finished my day.	yes
I got some really cute shoes Monday.	no
Going to the gym and having a good workout.	no
I was happy when I was at church for adoration last Thursday, it was so peaceful.	no
The last time I went to my regular Dungeons and Dragons game(s).	no
I went to the food shelf.	no
I won concert tickets on the radio.	no
Two weeks ago, I had an anniversary at my job, its amazing that I'm still at my place of employment after 15 years and still loving it.	no
My young sister called me from college, it was great to hear her voice since we haven't talked for a while.	yes
My wife let me sleep in today after a grueling night of work.	yes
I got to get together with some people from church to help out at the retirement home.It is always a good feeling to help people.	yes
My child told me that she loved me.	yes
I was in training all day yesterday so I did not have to go to work.	no
I had a hearty lunch with baby back ribs.	no
I was able to see my dog after being on vacation for a week.	no
I went to a baseball game with my friends and my team won.	yes
I made my partner some dinner and she enjoyed it a lot.	yes
My brother came to visit for a week from out-of-town.	yes
After spending over 10 months without walking in recovery from a sever leg injury, I have been now able to bear weight and walk using a crutch or a cane.	no
While cleaning out our attic, my older brother found a handmade birthday card I'd given him on his birthday more than twenty years ago and showed it to me.	yes
My favorite show came back on netflix	no
It stopped raining outside so I was able to go out.	no
My staff meeting got cancelled.	yes
WE HAVE TO TRAVELLING THE THE UNITED STATES AND IT SAW MANY ATTRAVTIVE PLACE IT WAS HAPPINESS IN MY LIFE	no
I booked a trip to Singapore for summer!	no
When my boyfriend came home from being gone for a week.	yes
I bought a new house	no
When I was hired at my new job.	no
Today I spoke with my father and arranged to meet him for dinner in the coming week.	yes
Listening to a song I haven't in quite a while.	no
I had delicious protein pancakes and eggs for breakfast.	no
I reached a goal at work today, and it made me feel really excited for the next project.	no
visiting my natal town fair with my wife	yes
What made me happy was telling my coworkers an April Fool's joke.	yes
I took a long relaxing hot shower after having run a bunch of errands all morning.	no
We went to see the Ghost in the Shell movie at an Imax theater.	yes
2 months ago i played tennis with my friends and i won in that game and really enjoyed my friends also encouraged me to win all over the world matches	yes
I went on a trip to the beach.	no
I received a phone call from a friend I had not heard from in quite some time.	yes
Went to mcdonalds for lunch with a friend	yes
I ate some very delicious pizza.	no
We went to Cedar Point and had great weather.	no
I was happy yesterday when my parents called and talked to me for an hour, telling me many funny stories of their new retired life.	yes
Having a delicious breakfast I made: egg white omelette with peppers, tomatoes and cheese	no
I went out with some friends I had not seen in over 2 years.	yes
I recently bought two friends a housewarming present and I was nervous about whether they would like it or not and they really loved it, which made me so happy.	yes
Just this past week I got to see some of my favorite artists perform live at a festival in Miami; I was overjoyed to actually see them in person.	yes
My youngest child made it to the potty without soiling her underwear	no
I got attention from a girl I like.	yes
Cooking and reuniting the family makes me happy.	yes
When I learned that my PhD proposal was accepted.	no
I bought a new pair of shoes.	no
I saw my girlfriend a couple of days ago and we played video games and had a lot of fun.	yes
I was happy when I first started to loose weight with my new plan.	no
Made a delicious meal of lentil shepherds pie for dinner and have lots of leftovers to enjoy	yes
Decided to list our house for sale and hope to make some money off it	no
Our son started to walk without any assistance.	yes
I talked to my best friend on the phone for a while.	yes
MY HAPPIEST MOMENT IN MY COLLEGE DAYS BECAUSE WEEKLY TWO OR THREE DAYS WE BUNK THE CLASS GO TO FILM BEACH ANY RESORT THIS MY HAPPIEST MOMENT.	yes
My daughter wanted so badly to go to school with my son this morning this makes me so excited because the transition to school will be easier for her and I am proud my daughter wants to go to school.	yes
My wife made a burger for me.	yes
I watched a movie i had never seen The devils rejects, the soundtrack was what pushed it over the top and made me happy good soundtracks are rare in movies or i have seen them so it was very novelty.	no
I brought a new pair of headphones	no
I met with my preacher and psychiatrist separately after getting out of the mental hospital and recovered almost completely from my schizophrenia.	yes
While talking to my parents about my day.	yes
Going for a walk in the local park	no
I received email confirmation of a bonus for some online work that several days ago I had spent hours working on.	no
I went to a neighborhood bbq over teh weekend.	no
The birth of my twin son this past April.	yes
I purchased new food items from Trader Joe's that were really delicious.	yes
I saw Mayhem and Inquisition in concert and rocked out really hard.	yes
Eating a tasty chicken lunch that my wife prepared today.	yes
I passed all my university exams.	no
I'm watching E3 streams, as I do every year during the conference.	yes
Going to the store and picking up some rare beer	no
I discovered some new, very fun video games.	no
My new girl friend recently gave me a very touching card for our one month anniversary.	yes
I slept for a long time after a hard day of work at office.	no
I was told by my boss that I was up for a promotion this month.	yes
I got good grades last semester at school.	no
My wife and I found out that we are pregnant!	yes
I ate a bowl full of strawberries.	no
I visited my mom at her house last night.	yes
"One of my cats meowed at me before I left my house today as if to say, ""I'll miss you while you're gone."""	no
Getting a $3 raise finally after 2 years overdue.	no
I ate really good chocolate my boyfriend gave me today	yes
I went shopping at antique stores with my mom and friend.	yes
Going for a drive with my neighbor where we talked and laughed	yes
My spouse told me about how well his evening went at work and I was happy for him.	yes
I got a new perfume	no
I made potstickers for dinner and they were fantastic.	no
I saw my sister's softball game, and she actually got to play.	yes
I got to cook my sister a meal after 24 years.	yes
An event that made me happy within the past 3 months was when I received an excellent grade on my midterm after worrying about how hard the material was.	no
Yesterday, I talked on phone with my one of best freind that really made me happy.	yes
I took my pups for a nice walk outside	no
I was happy when I was watching a funny video on YouTube about one of my favorite video games.	no
I received my mail today and in it was a package I ordered from Japan several weeks ago and had completely forgotten about it.	no
My friend and their family came to stay with me on vacation.	yes
I was able to find a job.	no
I WENT TO MUSIC CLASS	no
When I won on a scratch off ticket and won $50.	no
"Got to watch a live acted ""You've Got to Have Heart"" from ""Damn Yankees."""	no
The weather was cool.	no
Moving forward in my relationship, My boyfriend decided that he wanted to move in with me.	yes
Paid off my son's car loan and helped him get a good start on life.	yes
I got to eat Chick-Fil-A for breakfast on Saturday.	no
I worked in a lab by arriving early and I was able to progress by really fast with getting the correct answers so I could leave early.	no
A friend of mine whom i had a crush from a very long time, offered me for a movie.	yes
Having a date with my crush	yes
I signed back up for the WWE Network streaming service and watched a live event with the service.	no
When my mom gave me extra money today so I didn't have to ask my Dad.	yes
YESTERDAY WE CELEBRATED CHURCH FESTIVAL IN MY NATIVE.	yes
My son got awarded a $4,000 scholarship for college.	yes
I played with my daughter before her bedtime.	yes
At work we received free lunch two days in a row.	yes
My husband woke me up this morning with a nice back rub and coffee in bed.	yes
After leaving work I remembered that my wife would be home early and that we would have time to spend together instead of our usual day of eating dinner, tv, and bed.	yes
I attended RENT the musical with my friend for his birthday	yes
When my family going to religious temple together	yes
My son bought me flowers for Mothers day.	yes
I talked to my daughter on the phone	yes
I met my coworker and her bf wanted for drinks and they (along with the beer, the everything pretzel, and the ice cream) made me really happy.	yes
I went to the observation deck at the US Bank tower and saw a great view of Los Angeles	no
my happiest moment is my college day celebration and then i got a price to topper of the class.	yes
I went for a trip with my wife.	yes
I finally had a chance to bring my dog to a new dog beach where she played the entire day with other dogs.	no
My birthday was back in march and I loved hanging out with my friends!	yes
Seeing my son win his track relay race and his giant grin at the the finish line.	yes
My husband made delicious tacos for dinner tonight.	yes
I saw a Great Blue heron land in my back yard, walk around for a while, then take off.	no
Attending my nephew baby shower	yes
I WENT TO SHOPPING	no
I decided to take a spontaneous vacation.	no
Meeting the designer of first satellite Aryabhatta it was such a great pleasure to meet him	yes
Going to the mall and buying some clothes.	no
My cats were excited to see me when I woke up.	yes
I went crazy and bought two expensive Pokemon cards on eBay last night.	no
Video chatting with a friend and setting up a plan to see her.	yes
I solved some difficult problems at work.	no
My wife surprised me last night and got us a bottle of wine to share.	yes
I enjoyed showing my Mother-In-Law the gardening and landscaping I've been working on in my backyard.	yes
I ate a great breakfast that I had made myself.	no
The person who was opposing my thesis was transferred.	yes
My dog throwing her pink alien toy around.	no
I got a discount on my shirt it was great.	no
I got a promotion and a raise at work that was completely unexpected.	no
I made dinner.	no
My son hit a triple in baseball.	yes
Last month I received a raise already at my new job.	no
My mom surprised me and picked up sushi for dinner.	yes
Helping a co-worker with a project.	yes
I received an at home seasonal part time work position grading papers in the education field that I wanted.	no
I bought tickets to a festival in September with a lot of bands I'm excited to see and I'll get to spend time alone with my husband without the kids.	yes
I bought a website for my partner.	yes
when my mom made me my favorite meatball sphaghetti.	yes
I celebrated my wedding anniversary.	yes
MY BOY FRIEND LOVE FEELING	yes
I celebrated my wedding anniversary.	yes
Last month i bought a fridge to my home to beat the heat.It was totally worth buying it.It was damn helpful in time like this.Every time i drink water from my fridge at this heat , i feel heavenly.I am glad that i bought a fridge.	no
I bought a new pair of shoes.	no
MY FRIEND BIRTHDAY	yes
A very unpleasant woman who worked at my job, was escorted out of the building because her work was deemed insufficient.	yes
I WENT TO TEMPLE	no
ate a great steak	no
I went for a long drive with my family in a car.There we planed for Get together party with my whole family.I enjoyed a lot.	yes
I did a elephant safari during a recent picnic with my friends.	yes
My boss complimented my work ethic after I arrived at work a little bit early!	yes
"I watched a new episode of the ""Scify"" show ""The Expanse"" last night."	no
I got an email that I had money being deposited in the bank!	no
The crew saved me a meal from dinner, as I was sleeping.	yes
Within the last week, I finished taking my final exams for college and felt accomplished because I thought I did well and didn't have to study anymore.	no
In 2008 I felt some much excitement when I accepted into the air force	no
I reached a new fitness goal of mine.	no
I got payment from a client	yes
I finally was able to afford a collectible I have been saving for.	no
This morning I watched my favorite soccer team, Manchester City, win a game against Hull City--plus, my favorite player, Sergio Aguero, scored a goal!	no
Having sex with my girlfriend.	yes
I went for a run after it rained and the air was cool and crisp and felt good on my skin.	no
I found and watched a FIVE hour behind the scenes documentary for the Hobbit: Desolation of Smaug on YouTube.	no
I slept in late today because it was the weekend	no
One of my friends won tickets to see Cage the Elephant in town and we had a blast.	yes
I had a get together with my school friends and it made me happy	yes
I was able to play my video game that I enjoy the most quite a bit and that made me relaxed and happy.	no
I was able to work out and hit my weight goal for the month.	no
This afternoon my fiance gave me chocolate because I was having a bad day.	yes
Approved for mturk	no
I found out that my sister is pregnant with her second child.	yes
Watched the Warcraft movie , I love the game and the movie was pretty fun.	no
my lover gave me a gift and it was so exciting he told me to come to our meeting place and then he gave me the gift Monday and it was so nice and it was my favorite he loves me so much	yes
I went for a run.	no
My parents came over to spend the day with my son.	yes
I had a nice family dinner at a local restaurant.	yes
i had ordered a pair of sneakers from amazon and it just arrived a few hours back, and it looks better than i had expected.	no
I was able to hang out with my girlfriend and watch the NCAA basketball games.	yes
TODAY I LEARN NEW SKILLS	no
I went a journey with my friends one week ago.	yes
My brother's back surgery went very well.	yes
I saw that a series I like got a new season on Netflix.	no
I was able to visit Austin with my girlfriend, and we had a great time.	yes
We won the final match in cricket and Very happy movement for this match.	yes
Got an A on an exam, amazing feeling!	no
I hung out with my significant other and watched television at home.	yes
Went outside for a hike	no
Yesterday after court I took an extra hour to grab lunch with my girlfriend before going back to work.	yes
After being a bit off schedule I got breakfast at Mcdonalds this morning and even though it is unhealthy it was delicious.	no
I was happy when I learned that a family member did not have a serious illness.	yes
I got to meet one of my all-time favorite singers backstage at a concert I attended.	yes
we have to travelling the china and it saw many attractive place it was happiness is my life.	yes
I got Promoted as a senior manager for which I got a increment last month which made me feel very excited and happy and still enjoying that moment	no
I got to watch the season finale of Survivor and it was a good episode.	no
I was happy when I skipped class today.	no
I had an interview for a job I really want.	no
The new season of Kimmy is on Netflix	no
I ran a 5K run in under 30 minutes and was barely out of breath at the end.	no
I accepted financial aid for this upcoming school year through my school's website.	no
My girlfriend decided to stay home with me to hang out instead of going to the gym.	yes
I watched an episode of the TV show KonoSuba.	no
I found out that my sister is pregnant and I am going to be an aunt again.	yes
I spoke to my sister whom I havent spoken with in many months.	yes
My husband made me a gate I asked him to make me months ago!	yes
It made me very happy to play baseball with my friends.	yes
Staying on track, when it comes to my diet, yesterday	no
I reached my exercise goal for the day.	no
I found my wallet, which I had misplaced two days before.	no
I was happy when I got to spend a day experience new event with my boyfriend, like riding the trolley downtown and spending the evening at a hockey game.	yes
Watching a funny TV show when I was bored	no
I received a bonus at work that was much more than I thought it would be.	no
Coming home after a half-day of work and having my wife have a delicious dinner ready.	yes
The sun was shining brightly	no
My happy moment would be the day I got hired for a position.	no
I won a $25 gift certificate to target, one of my favorite stores!	no
I got to talk to my dad after not seeing him for a few weeks while he was in another state on business.	yes
I gave a hero bicycle learn to my sister son.He saw the cycle his happy is endless.I feel very proudly saw his happy.He learn the cycle in 30 minutes.then we back our home and ate some foods then he went his bed,he cant forget the surprise.I feel very comfortable the situation.	yes
I bought Shovel Knight on steam and it's awesome.	no
I WENT TO SHOPPING	no
I gave birth to my second child, my first son.	yes
I got to sleep in this weekend for the first time in a long time.	no
I bought a new pair of shoes	no
I went to god venkatesha temple .	no
My mother came to visit me from 1100 miles away.	yes
I visited a local college with my boyfriend; we walked around campus, ate food, and held hands.	yes
Today was the last day of school and now I have the summer off.	no
I discovered a new video game to play that I love.	no
I read a funny novel and laugh a lot.	no
Watching Master of None in my apartment while eating a delicious, picnic-style dinner of bread, cheese, fruits, vegetables and meats and having a glass of wine	no
I made pasta for the first time	no
I baked cookies with my crush.	yes
I got a great gift from my wife for valentines day that put me in a great mood.	yes
I WENT TO TEMPLE	no
Yesterday, my cute baby boy (1 year age) started to speak few new words and started to caling me & explain his feelings happily while playing with toys.	yes
My 2 year old daughter wanted to give her dad and me big hugs and squeezes.	yes
Great conversation with a new friend	yes
I watched a movie I enjoy on television.	no
I joined party with many girl wine, music and edm , that party made me crazy	yes
I FINISHED SHOVELING THE DRIVEWAY AFTER THE SNOW STORM !	no
I was happy when my children went to sleep so I could get on my computer and relax.	yes
I had a nice lunch.	no
Worked extra hours for past one month and earned enough to pay my son's school fees and paid today.	yes
I found a neat place for the trip we're going on next week that lets you get a 5-star restaurant experience for regular restaurant prices, because it's run by students as part of a teaching kitchen - super cool!	yes
I talked to my father for the first time in weeks since he has been overseas.	yes
I ate a brownie.	no
Went to Nephew's party, he just turned 5, Spending time with family was great.	yes
Making some pancakes with my daughter.	yes
I got a promotion at work.	yes
I went to the grocery store and got all the groceries I need for a week.	no
Last night father give me a surprise gift as CAR occasion of my birthday its a happiest event for me.	yes
I saw the cutest dog on the way home from work.	no
My favorite team, the Celtics, won the number 1 pick in the NBA draft lottery	yes
I was able to buy some very popular shoes for a friend.	yes
I played peek a boo with my baby niece.	yes
"I've been teaching my son about manners and he said, ""Please, mom"" and it melted my heart."	yes
I finished reading the beautiful new book, Book of Mutter, by one of my favorite new writers Kate Zambreno.	no
The day I went to Yoga and Meditation for the relief of stress and mind tension.	no
I did yoga this morning to try to make my back and neck more limber.	no
I got to read some of my favorite book while sitting in the sunshine.	no
I had a stress free day at work today.	no
I played football with my two kids outside in our front yard	yes
Another event that made me happy within the past 24 hours was having a nice conversation with my mother on the phone.	yes
I went to Smoothie King and got my favorite kind of smoothie after finishing my classes for this week.	no
I WANT TO SHOPPING	no
My family was tour in ootty	yes
My summer holidays started and i came home.	no
Another event that really made me happy was having the opportunity to work for a transcription service.	no
Spending a daughter/mommy day with my daughter.	yes
I went to the market and found all the items I want on sale	no
Today was my 'cheat day' for my diet, the first in a month, and I ate a reasonable amount of all my Easter favorites.	no
I made a cup of coffee that was perfectly sweetened to my taste.	no
An event that made me happy in the past three months was making 13 dollars on a hit on amazon turk.	no
I got a promotion at work.	yes
I went to a local bookstore and bought a book called the Art of Peace.	no
I ate healthier.	no
A book that I wrote made it on to a hot new releases chart on Amazon.	no
I bought my first house in mid-March, negotiating the terms of the purchase directly with the owner without real estate agents.	yes
Our air conditioning broke down and the repair man came to fix it finally.	yes
My mom telling me how proud she was of me because I decided to take a stock market course that she always wanted me too take	yes
My son read (somewhat) of his favorite book to me.	yes
i found a really nice airbnb for a vacation and the owner called and said he was offering discounts, after i had already booked it	yes
I found out that I there was an entire full season available to stream of a show that I was not caught up on.	no
I had fun chasing iguanas around.	no
I bought a game that i was waiting a couple of years for, that was almost a month ago and i'm still playing it the game is awesome and I'm so happy that it was even better than expected.	no
I played a computer game and a rare pet dropped for me.	no
Winning a online bet on a sports betting site.	no
I started thinking about more things that I will do on my vacation in 2 weeks.	no
I bought a new computer to play games on.	no
Today I was able to take a break from work and go to the gym.	no
I bought a new car	no
After having my internet connection down all day, I was finally able to get online about an hour ago.	no
"I went to Chick-fil-A for lunch this afternoon as a ""treat yo self"" kind of break for me,"	no
Going to see Beauty and the Beast with two of my best friends made me happy.	yes
I was able to get a great deal on an item I was looking to purchase.	no
HOLIDAY VACATION WITH MY FRIENDS	yes
I went to my sister's house to fix a computer problem that took much less time than I thought.	yes
I thought I might have a big problem with my car's engine but after bringing it in it turned out to be no problem at all.	no
My insurance company waived my deductible for my car repair claim.	no
I completed a job application that I had been putting off.	no
when i share a heart felt moment of joy and laughter with my family and friends.	yes
The weather was great outside.	no
I received an A on my Chemistry exam.	no
Sleeping very well last night.	no
MY BIRTHDAY PARTY CELEBRATION	yes
I found out that I got into my favorite graduate program.	no
I went for a walk	no
My husband cooked me an early breakfast without me asking.	yes
The first time I kissed my new girlfriend made me so incredibly happy.	yes
When me and my wife went to Home Depot and selected hardwood and carpet for the renovation of our home in the next month.	yes
I had a good phone conversation with my parents	yes
I went to the club last night with my friends and had a great time there, so I was happy.	yes
I got a raise at work for a job well done.	no
I ordered a couple of things that I wanted off Amazon.	no
I watched my favorite basketball team play last night.	yes
